team_name,matches_played,goals_scored,goals_conceded,corners_won,cards_received
Bayern Munich,34,122,36,210,51
Borussia Dortmund,34,70,34,178,59
RB Leipzig,34,66,47,195,62
VfB Stuttgart,34,71,49,185,54
Hoffenheim,34,65,52,160,76
Bayer Leverkusen,34,68,47,222,58
Freiburg,34,51,57,152,53
Eintracht Frankfurt,34,61,65,155,67
Augsburg,34,45,61,144,79
Mainz,34,44,53,140,78
Union Berlin,34,44,58,135,71
Borussia Monchengladbach,34,42,53,158,65
Hamburger SV,34,40,54,149,74
FC Koln,34,49,63,138,63
Werder Bremen,34,37,60,148,68
Wolfsburg,34,45,69,146,88
Heidenheim,34,41,72,142,55
St Pauli,34,29,60,132,60
