team_name,matches_played,goals_scored,goals_conceded,corners_won,cards_received
Coventry City,46,97,45,285,88
Ipswich Town,46,80,47,250,82
Millwall,46,64,49,215,102
Southampton,46,82,56,268,85
Middlesbrough,46,72,47,260,79
Hull City,46,70,66,224,119
Wrexham,46,69,65,218,91
Derby County,46,67,59,210,109
Norwich City,46,63,56,222,86
Birmingham City,46,57,56,204,92
Swansea City,46,57,59,231,80
Bristol City,46,59,59,208,84
Sheffield United,46,66,66,225,95
Preston North End,46,55,62,198,90
Queens Park Rangers,46,61,73,195,96
Watford,46,53,65,192,89
Stoke City,46,51,56,201,94
Portsmouth,46,49,64,188,98
Charlton Athletic,46,44,58,182,93
Blackburn Rovers,46,42,56,190,100
West Bromwich Albion,46,48,58,202,91
Oxford United,46,45,59,178,87
Leicester City,46,58,68,212,96
Sheffield Wednesday,46,29,89,145,105
