team_name,matches_played,goals_scored,goals_conceded,corners_won,cards_received
PSG,34,76,33,204,54
Monaco,34,68,42,182,68
Marseille,34,52,41,191,72
Lille,34,57,34,178,61
Lens,34,45,37,185,65
Rennes,34,53,46,172,59
Lyon,34,49,55,180,63
Nice,34,40,29,144,57
Reims,34,42,47,148,66
Toulouse,34,42,46,155,70
Strasbourg,34,38,50,164,74
Brest,34,53,34,142,60
Montpellier,34,43,48,151,75
Le Havre,34,34,45,136,62
Nantes,34,30,55,132,67
Auxerre,34,41,54,139,58
Angers,34,31,52,130,64
Saint Etienne,34,32,58,135,71
