team_name,matches_played,goals_scored,goals_conceded,corners_won,cards_received
Real Madrid,36,83,22,210,68
Barcelona,36,75,36,198,74
Atletico Madrid,36,64,39,182,88
Girona,36,78,45,174,65
Athletic Bilbao,36,58,37,190,72
Real Sociedad,36,48,35,165,79
Real Betis,36,48,45,162,76
Valencia,36,37,41,148,63
Villarreal,36,60,60,170,91
Getafe,36,41,51,142,104
Osasuna,36,41,54,152,78
Sevilla,36,47,51,158,89
Celta Vigo,36,55,54,160,67
Las Palmas,36,32,44,138,73
Deportivo Alaves,36,34,44,144,75
Rayo Vallecano,36,29,44,150,92
Mallorca,36,29,41,146,84
Leganes,36,31,45,130,70
Real Valladolid,36,28,52,126,81
Espanyol,36,33,55,135,85
