team_name,matches_played,goals_scored,goals_conceded,corners_won,cards_received
PSV Eindhoven,34,101,45,232,54
Feyenoord,34,70,44,201,58
NEC Nijmegen,34,77,53,185,62
FC Twente,34,59,40,172,50
AFC Ajax,34,62,41,180,56
FC Utrecht,34,55,42,164,60
AZ Alkmaar,34,58,51,168,59
SC Heerenveen,34,57,53,163,55
FC Groningen,34,49,45,148,64
Sparta Rotterdam,34,40,62,130,68
Fortuna Sittard,34,49,63,142,72
Go Ahead Eagles,34,54,53,151,58
Excelsior Rotterdam,34,43,56,134,61
SC Telstar,34,49,55,139,63
PEC Zwolle,34,44,71,132,70
FC Volendam,34,35,55,115,66
NAC Breda,34,35,58,118,69
Heracles Almelo,34,35,85,112,75
