team_name,matches_played,goals_scored,goals_conceded,corners_won,cards_received
Arsenal,36,68,26,205,52
Man City,36,75,32,210,48
Man United,36,63,48,185,74
Liverpool,36,60,48,190,61
Aston Villa,36,50,46,174,78
Bournemouth,36,56,52,162,68
Brighton,36,52,42,168,72
Brentford,36,52,49,158,75
Chelsea,36,55,49,180,95
Everton,36,46,46,155,79
Fulham,36,44,50,150,81
Sunderland,36,37,46,144,69
Newcastle,36,50,52,172,76
Leeds,36,48,53,149,82
Crystal Palace,36,38,47,146,64
Nottingham Forest,36,45,47,151,84
Spurs,36,46,55,166,88
West Ham,36,42,62,153,73
Burnley,36,37,73,138,80
Wolves,36,25,66,132,91
