team_name,matches_played,goals_scored,goals_conceded,corners_won,cards_received
FC Zenit Saint Petersburg,29,52,19,178,54
FC Krasnodar,29,57,23,165,68
FC Lokomotiv Moscow,29,53,36,155,72
FC Spartak Moscow,29,47,39,162,79
PFC CSKA Moscow,29,41,32,150,61
FC Baltika Kaliningrad,29,37,19,138,58
FC Rubin Kazan,29,27,28,124,66
FC Dynamo Moscow,29,49,39,158,63
FC Akhmat Grozny,29,34,38,130,75
FC Rostov,29,25,31,135,70
FC Orenburg,29,29,41,128,64
PFC Krylia Sovetov Samara,29,31,49,122,59
FC Akron Tolyatti,29,34,49,119,74
FC Dynamo Makhachkala,29,19,37,112,82
FC Pari Nizhny Novgorod,29,24,48,115,77
PFC Sochi,29,28,59,120,80
