team_name,matches_played,goals_scored,goals_conceded,corners_won,cards_received
Inter Milan,37,86,32,228,64
SSC Napoli,37,57,36,192,72
AC Milan,37,52,33,210,75
AS Roma,37,57,31,198,88
Como,37,61,28,174,69
Juventus,37,59,32,185,71
Atalanta,36,50,34,190,66
Bologna,36,45,43,168,78
SS Lazio,37,39,39,172,81
Udinese Calcio,36,45,46,150,74
Sassuolo Calcio,36,44,46,155,83
Torino,36,41,59,146,76
Parma,37,27,46,138,79
Genoa,37,41,50,144,82
ACF Fiorentina,37,40,49,160,70
Cagliari Calcio,36,36,51,135,85
Lecce,36,24,48,128,80
Cremonese,36,30,53,132,77
Hellas Verona,37,25,59,122,89
Pisa,37,25,69,118,93
