team_name,matches_played,goals_scored,goals_conceded,corners_won,cards_received
Young Africans,28,68,13,165,42
Simba SC,28,56,22,158,48
Azam FC,28,60,20,152,45
Coastal Union,28,32,24,124,58
Kinondoni MC,28,31,34,118,62
Tanzania Prisons,28,29,32,110,65
Singida Black Stars,28,28,31,115,59
Kagera Sugar,28,22,29,104,52
Mashujaa FC,28,28,32,112,60
Dodoma Jiji,28,19,25,98,55
Namungo FC,28,23,28,102,57
JKT Tanzania,28,22,30,105,64
Pamba Jiji,28,24,35,108,61
Ken Gold,28,18,39,92,68
Tabora United,28,23,41,100,63
Mtibwa Sugar,28,21,46,95,56
