team_name,matches_played,goals_scored,goals_conceded,corners_won,cards_received
Galatasaray,38,92,26,234,74
Fenerbahce,38,99,31,228,82
Besiktas,38,52,47,195,88
Trabzonspor,38,69,50,188,71
Basaksehir,38,57,43,172,79
Kasimpasa,38,62,65,165,85
Alanyaspor,38,53,50,150,76
Sivasspor,38,47,54,142,91
Antalyaspor,38,44,49,158,78
Adana Demirspor,38,53,61,160,83
Samsunspor,38,42,52,148,80
Kayserispor,38,44,57,138,89
Gaziantep FK,38,50,57,144,94
Konyaspor,38,40,53,135,77
Ankaragucu,38,46,52,140,73
Hatayspor,38,45,53,132,86
Karagumruk,38,49,52,146,92
Pendikspor,38,42,73,128,81
Istanbulspor,38,27,80,115,87
