team_name,matches_played,goals_scored,goals_conceded,corners_won,cards_received
Liverpool,8,17,5,52,18
Barcelona,8,28,13,58,19
Arsenal,8,16,3,48,15
Inter Milan,8,11,1,39,16
Atletico Madrid,8,20,12,47,21
Bayer Leverkusen,8,15,7,43,17
Lille,8,17,10,41,19
Aston Villa,8,13,6,40,16
Atalanta,8,20,6,45,14
Borussia Dortmund,8,22,12,50,22
Real Madrid,8,20,12,54,18
Bayern Munich,8,20,12,56,15
AC Milan,8,14,11,38,20
PSV Eindhoven,8,16,12,42,17
Paris Saint-Germain,8,14,9,46,16
Benfica,8,16,12,39,18
Monaco,8,13,13,36,19
Brest,8,10,11,32,21
Feyenoord,8,18,21,41,23
Juventus,8,9,7,35,16
Celtic,8,13,14,37,15
Manchester City,8,18,14,55,12
Sporting CP,8,13,12,38,17
Club Brugge,8,7,11,30,19
Dinamo Zagreb,8,12,19,31,22
VfB Stuttgart,8,13,17,34,20
Shakhtar Donetsk,8,8,16,26,18
Bologna,8,4,9,28,17
Red Star Belgrade,8,13,22,30,23
Sturm Graz,8,5,14,24,19
Sparta Prague,8,7,21,25,22
RB Leipzig,8,8,15,36,18
Girona,8,5,13,29,19
Salzburg,8,5,27,27,20
Slovan Bratislava,8,7,27,22,21
Young Boys,8,3,24,21,22
