team_name,matches_played,goals_scored,goals_conceded,corners_won,cards_received
FC Shakhtar Donetsk,29,71,20,182,51
FC LNZ Cherkasy,28,38,16,134,62
FC Polissya Zhytomyr,28,49,21,146,58
FC Dynamo Kyiv,29,63,34,168,55
FC Metalist 1925 Kharkiv,29,35,19,122,70
FC Kryvbas Kryvyi Rih,29,52,45,140,74
FC Kolos Kovalivka,29,29,25,128,66
Zorya Luhansk,28,40,35,135,69
FC Karpaty Lviv,28,37,29,130,60
NK Veres Rivne,28,26,37,115,63
FC Obolon Kyiv,29,28,48,118,72
FC Epitsentr Dunaivtsi,29,36,45,121,65
FC Kudrivka,28,29,45,108,59
FC Rukh Lviv,29,20,49,112,78
Oleksandriya,29,23,57,110,71
SC Poltava,29,23,74,102,83
