team_name,matches_played,goals_scored,goals_conceded,corners_won,cards_received
Inter Miami CF,34,79,49,185,72
Columbus Crew,34,72,40,192,58
FC Cincinnati,34,58,48,178,69
LA Galaxy,34,69,50,188,64
LAFC,34,63,43,195,71
Real Salt Lake,34,65,48,170,66
Colorado Rapids,34,61,60,162,63
New York City FC,34,54,47,166,78
New York Red Bulls,34,55,50,174,75
Orlando City SC,34,59,50,158,61
Charlotte FC,34,46,37,152,67
Houston Dynamo FC,34,47,39,160,70
Seattle Sounders FC,34,51,35,182,55
Minnesota United FC,34,58,49,164,68
Portland Timbers,34,65,56,155,74
Vancouver Whitecaps FC,34,52,49,151,62
CF Montreal,34,48,64,142,79
Atlanta United FC,34,46,49,168,60
D.C. United,34,52,70,159,85
Toronto FC,34,40,61,146,82
Philadelphia Union,34,57,55,172,65
Nashville SC,34,38,54,140,59
Austin FC,34,39,48,138,73
FC Dallas,34,54,56,145,71
St. Louis CITY SC,34,50,61,161,77
Sporting Kansas City,34,51,66,150,69
Chicago Fire FC,34,40,62,136,80
New England Revolution,34,37,74,144,76
San Jose Earthquakes,34,41,78,148,84
