team_name,matches_played,goals_scored,goals_conceded,corners_won,cards_received
Argentina,10,24,5,58,16
France,10,26,7,61,14
Brazil,10,21,8,55,18
England,10,23,6,59,12
Spain,10,25,7,60,15
Portugal,10,28,8,57,17
Netherlands,10,20,9,54,16
Germany,10,22,11,56,19
Italy,10,17,10,50,21
Belgium,10,19,9,52,15
Croatia,10,16,10,48,16
Uruguay,10,18,11,51,22
Morocco,10,17,7,49,18
Colombia,10,16,9,47,19
Senegal,10,15,8,46,17
USA,10,18,12,53,16
Mexico,10,15,11,50,20
Japan,10,24,8,56,11
South Korea,10,20,9,52,14
Australia,10,17,10,51,16
Iran,10,19,10,48,19
Ecuador,10,13,9,44,21
Tunisia,10,12,9,42,17
Egypt,10,16,10,46,18
Algeria,10,17,11,47,19
Nigeria,10,14,11,45,18
Cameroon,10,13,12,43,20
Ghana,10,12,12,42,21
Ivory Coast,10,15,11,46,19
Canada,10,14,13,48,17
Saudi Arabia,10,11,12,40,20
Qatar,10,13,14,41,16
Iraq,10,12,13,39,21
Uzbekistan,10,14,11,43,18
Jordan,10,11,13,38,19
South Africa,10,12,11,44,18
Congo DR,10,11,12,40,22
Cape Verde,10,10,12,39,19
Curaçao,10,9,15,37,17
Haiti,10,11,16,40,20
Panama,10,12,14,42,18
New Zealand,10,10,14,38,15
Norway,10,18,12,52,16
Austria,10,16,11,49,18
Scotland,10,13,14,44,21
Sweden,10,15,13,48,19
Turkey,10,16,14,50,23
Czech Republic,10,14,12,46,20
